,Loan_Amount,Monthly_Salary,Total_Income_for_Join_Application,Total_Sum_of_Loan,Years_to_Financial_Freedom,Loan_Tenure_Year,Credit_Card_Exceed_Months,State,Credit_Card_types,Years_for_Property_to_Completion,Number_of_Bank_Products,Decision
28,0.95,0.72,0.38,0.78,10,8,0,0,2,0,0,0
29,0.21,0.68,0.66,0.57,0,10,0,0,0,0,0,0
30,0.4,0.39,0.49,0.96,8,3,0,0,0,0,0,0
31,0.39,0.33,0.59,0.31,0,8,0,0,0,0,0,1
32,0.02,0.84,0.91,0.85,0,5,0,0,1,0,0,1
33,0.4,0.81,0.51,0.39,0,8,0,0,1,0,0,0
34,0.37,0.01,0.6,0.11,0,4,0,0,1,0,0,1
35,0.64,0.32,0.68,0.06,10,14,0,0,1,0,0,0
36,0.16,0.78,0.84,0.33,0,8,0,0,1,0,0,1
37,0.44,0.28,0.38,0.32,0,1,0,0,0,0,0,0
38,0.29,0.43,0.99,0.96,0,12,0,0,1,1,0,1
39,0.58,0.42,0.8,0.18,0,9,0,0,1,0,0,0
40,0.05,0.49,0.53,0.96,0,10,0,0,1,0,0,0
41,0.06,0.43,0.37,0.5,0,4,0,0,0,0,0,1
42,0.14,0.58,0.23,0.47,0,0,0,0,1,0,0,0
43,0.42,0.4,0.26,0.02,7,8,0,0,0,0,1,0
44,0.67,0.8,0.13,0.74,0,10,0,0,0,0,1,1
45,0.17,0.52,0.9,0.46,0,5,0,0,2,0,0,0
46,0.2,0.45,0.4,0.23,10,4,0,0,1,0,2,1
47,0.95,0.49,0.41,0.99,0,3,0,0,1,0,1,0
48,0.08,0.36,0.5,0.49,0,4,0,0,0,0,0,0
49,0.75,0.24,0.64,0.36,0,11,0,0,1,0,0,0
50,0.9,0.23,0.26,0.08,0,7,0,0,1,0,0,0
51,0.54,0.59,0.09,0.95,0,7,0,0,1,0,1,0
52,0.38,0.37,0.58,0.45,4,10,0,0,1,0,0,0
53,0.57,0.62,0.57,0.81,0,12,0,0,1,0,0,0
54,0.33,0.48,0.28,0.78,0,1,0,0,1,0,0,0
55,0.98,0.36,0.35,0.68,10,7,0,0,1,0,0,1
56,0.19,0.91,0.77,0.97,0,13,0,0,1,0,0,0
57,0.45,0.56,0.19,0.92,0,11,0,0,1,0,0,0
58,0.19,0.51,0.5,0.75,0,9,0,0,1,0,0,0
59,0.8,0.29,0.57,0.24,0,13,0,0,0,0,1,1
60,0.25,0.35,0.44,0.93,0,14,0,0,1,0,0,0
61,0.22,0.53,0.49,0.25,0,11,0,0,0,0,0,0
62,0.11,0.37,0.6,0.66,6,10,0,0,1,0,0,1
63,0.3,0.42,0.67,0.23,3,9,0,0,0,0,3,1
64,0.06,0.47,0.76,0.1,0,9,0,0,1,1,0,0
65,0.16,0.44,0.81,0.47,0,5,0,0,1,0,0,0
66,0.71,0.91,0.6,0.54,10,3,0,0,1,1,0,0
67,0.85,0.6,0.56,0.56,0,14,0,0,1,0,0,0
68,0.84,0.31,0.53,0.35,0,11,0,0,0,0,2,1
69,0.2,0.47,0.34,0.65,6,12,0,0,1,0,0,1
70,0.06,0.44,0.69,0.79,5,11,0,0,1,0,0,0
71,0.43,0.4,0.79,0.78,0,1,0,0,2,0,0,0
72,0.11,0.41,0.44,0.48,0,3,0,0,0,0,0,0
73,0.65,0.47,0.58,0.79,0,1,0,0,1,0,0,0
74,0.37,0.13,0.66,0.13,0,6,0,0,0,0,0,0
75,0.54,0.74,0.21,0.98,10,5,0,0,0,0,0,0
76,0.88,0.0,0.51,0.83,10,9,0,0,0,0,3,1
77,0.97,0.1,0.73,0.92,0,8,0,0,1,0,1,0
78,0.14,0.1,0.7,0.37,10,8,0,0,0,0,2,0
79,0.58,0.46,0.08,0.26,0,1,0,0,1,0,0,0
80,0.84,0.16,0.83,0.02,0,14,0,0,1,0,1,0
81,0.31,0.58,0.38,0.47,0,13,0,0,0,0,0,0
82,0.52,0.9,0.16,0.45,0,11,0,0,1,0,0,0
83,0.12,0.53,0.28,0.92,1,5,0,0,2,0,0,0
84,0.6,0.51,0.84,0.17,0,10,0,0,0,0,0,0
85,0.05,0.59,0.54,0.7,0,8,0,0,1,0,0,0
86,0.77,0.0,0.42,0.26,0,7,0,0,1,0,0,0
87,0.1,0.65,0.43,0.78,10,0,0,0,1,0,2,0
88,0.36,0.6,0.16,0.89,0,0,0,0,0,0,2,0
89,0.04,0.43,0.47,0.04,7,5,0,0,1,0,0,1
90,0.44,0.51,0.43,0.81,0,6,0,0,1,0,1,0
91,0.62,0.36,0.35,0.76,10,6,0,0,1,0,0,0
92,0.79,0.42,0.41,0.25,0,6,0,0,1,0,0,1
93,0.18,0.44,0.6,0.25,6,6,0,0,0,0,2,0
94,0.5,0.01,0.69,0.41,10,8,0,0,0,0,0,1
95,0.14,0.56,0.99,0.84,0,5,0,0,1,0,0,1
96,0.77,0.91,0.02,0.12,0,7,0,0,1,2,1,1
97,0.21,1.0,0.66,0.42,0,12,0,0,1,0,0,1
98,0.16,0.77,0.2,0.17,0,6,0,0,0,1,0,1
99,0.43,0.92,0.26,0.1,1,9,0,0,1,0,0,0
100,0.85,0.73,0.18,0.95,1,10,5,0,0,0,0,0
101,0.7,0.52,0.86,0.38,1,7,5,0,1,0,0,0
102,0.65,0.76,0.45,0.14,9,1,5,0,0,0,0,0
103,0.6,0.21,0.49,0.12,1,8,5,0,0,1,0,0
104,0.73,0.35,0.78,0.77,1,3,5,0,1,1,0,0
105,0.61,0.4,0.53,0.32,1,11,5,0,1,0,0,1
106,0.37,0.8,0.85,0.55,1,10,5,0,1,0,0,0
107,0.81,0.4,0.48,0.86,1,3,5,0,0,0,1,0
108,0.02,0.68,0.55,0.57,1,2,5,0,0,0,0,1
109,0.59,0.72,0.32,0.76,1,12,5,0,0,0,0,0
110,0.48,0.1,0.38,0.36,1,0,5,0,1,0,0,0
111,0.23,0.51,0.09,0.01,1,5,5,0,1,0,0,0
112,0.53,0.63,0.82,0.58,3,7,5,0,1,0,0,1
113,0.46,0.6,0.49,0.01,1,7,5,0,2,1,1,0
114,0.92,0.44,0.81,0.48,1,2,5,0,0,0,0,0
115,0.06,0.64,0.53,0.55,1,10,5,0,1,0,0,0
116,0.69,0.94,0.3,0.44,1,8,5,0,1,0,0,1
117,0.69,0.39,0.8,0.61,1,4,5,0,0,0,1,0
118,0.71,0.03,0.45,0.63,9,6,5,0,1,0,0,1
119,0.49,0.8,0.26,0.04,1,5,5,0,1,0,0,0
120,0.98,0.37,0.43,0.17,8,0,5,0,1,0,0,0
121,0.31,0.73,0.37,0.86,4,12,5,0,1,0,0,0
122,0.69,0.51,0.3,0.55,1,10,5,0,1,2,0,0
123,0.47,0.1,0.53,0.1,10,8,5,0,1,0,0,0
124,0.58,0.99,0.3,0.48,1,12,5,0,1,0,0,0
125,0.24,0.61,0.98,0.33,1,6,5,0,1,1,0,1
126,0.24,0.55,0.39,0.18,1,10,5,0,1,0,0,0
127,0.71,0.02,0.54,0.47,1,7,5,0,2,0,0,1
128,0.01,0.34,0.55,0.89,9,10,5,0,0,0,0,0
129,0.98,0.12,0.48,0.72,1,4,5,0,0,0,0,0
130,0.52,0.96,0.5,0.49,1,7,5,0,1,0,0,0
131,0.54,0.04,0.19,0.18,1,13,5,0,1,0,0,1
132,0.56,0.63,0.22,0.89,1,7,5,0,1,0,0,0
133,0.59,0.06,0.46,0.63,1,10,5,0,2,0,0,0
134,0.8,0.31,0.7,0.32,1,5,5,0,1,0,0,0
135,0.73,0.68,0.47,0.25,8,6,5,0,1,0,0,0
136,0.41,0.66,0.18,0.87,7,5,5,0,1,1,0,0
137,0.05,0.15,0.41,0.41,1,6,5,0,2,0,1,1
138,0.12,0.51,0.5,0.98,1,7,5,0,1,0,0,1
139,0.61,0.31,0.5,0.94,1,8,5,0,1,1,1,0
140,0.82,0.6,0.07,0.02,1,13,5,0,2,0,1,0
141,0.43,0.52,0.04,0.05,1,10,5,0,0,0,0,0
142,0.68,0.15,0.98,0.5,1,13,5,0,0,0,0,0
143,0.85,0.01,0.52,0.2,1,11,5,0,1,1,0,0
144,0.76,0.05,0.58,0.13,1,2,5,0,1,0,0,0
145,0.92,0.52,0.02,0.41,1,2,5,0,0,0,0,0
146,0.65,0.6,0.14,0.22,1,10,5,0,1,2,0,0
147,0.2,0.79,0.4,0.86,3,13,5,0,1,0,0,0
148,0.1,0.96,0.55,0.77,1,12,5,0,1,0,0,0
149,0.2,0.36,0.07,0.73,1,7,5,0,0,0,0,0
150,0.33,0.71,0.44,0.44,9,2,5,0,1,0,1,0
151,0.6,0.28,0.02,0.42,1,4,5,0,0,0,0,1
152,0.07,0.67,0.13,0.32,4,12,5,0,1,0,0,1
153,0.77,0.7,0.58,0.89,1,3,5,0,2,0,0,0
154,0.68,0.82,0.45,0.49,1,11,5,0,0,0,1,0
155,0.53,0.96,0.27,0.64,1,12,5,0,1,0,0,1
156,0.61,0.22,0.69,0.71,1,11,5,0,1,0,0,0
157,0.71,0.54,0.79,0.95,1,1,5,0,1,0,0,1
158,0.15,0.73,0.42,0.43,4,12,5,0,1,0,0,0
159,0.49,0.38,0.24,0.3,10,8,5,0,2,0,0,0
160,0.25,0.71,0.94,0.02,1,10,5,0,0,0,0,0
161,0.13,0.9,0.5,0.36,1,7,5,0,1,0,0,0
162,0.06,0.52,0.75,0.54,1,12,5,0,1,0,0,0
163,0.63,0.56,0.73,0.67,9,10,5,0,0,0,2,0
164,0.22,0.61,0.88,0.36,1,10,5,0,0,2,0,0
165,0.13,0.94,0.56,0.31,1,11,5,0,0,0,1,0
166,0.09,0.71,0.45,0.89,1,8,5,0,1,0,0,0
167,0.72,0.2,0.58,0.36,9,10,5,0,1,1,1,0
168,0.41,0.81,0.38,0.94,1,11,5,0,1,0,0,0
169,0.65,0.93,0.68,0.0,1,12,5,0,1,0,0,0
170,0.87,0.12,0.79,0.99,1,10,5,0,1,0,1,0
171,0.68,0.31,0.06,0.55,1,3,5,0,1,0,0,0
172,0.39,0.71,0.58,0.3,10,2,5,0,0,0,1,0
173,0.31,0.41,0.4,0.01,1,7,5,0,1,0,1,0
174,0.25,0.75,0.1,0.46,1,13,5,0,1,0,0,0
175,0.15,0.95,0.08,0.38,1,3,5,0,1,0,0,0
176,0.3,0.14,0.12,0.9,1,10,5,0,1,0,0,0
177,0.69,0.54,0.61,0.99,10,0,5,0,1,0,0,1
178,0.15,0.6,0.49,0.29,1,13,5,0,1,0,0,0
179,0.79,0.92,0.26,1.0,1,10,5,0,1,0,0,0
180,0.12,0.84,0.54,0.88,1,10,5,0,2,1,0,0
181,0.77,0.88,0.05,0.42,1,12,5,0,1,0,0,0
182,0.58,0.46,0.56,0.42,4,7,5,0,1,0,2,0
183,0.09,0.38,0.47,0.7,1,4,5,0,0,0,0,0
184,0.58,0.49,0.58,0.34,1,13,5,0,0,0,0,0
185,0.91,0.1,0.5,0.05,1,7,5,0,2,0,1,1
186,0.31,0.97,0.96,0.69,1,10,5,0,1,0,1,0
187,0.46,0.58,0.66,0.96,1,1,5,0,1,0,0,0
188,0.84,0.73,0.11,0.11,3,10,5,0,1,0,0,0
189,0.29,0.6,0.16,0.0,1,5,5,0,1,0,0,1
190,0.32,0.91,0.64,0.61,8,14,5,0,1,2,1,0
191,0.5,0.69,0.61,0.5,2,11,5,0,1,0,0,0
192,0.67,0.3,0.53,0.89,1,7,5,0,0,0,1,0
193,0.47,0.79,0.21,0.83,1,1,5,0,1,0,0,0
194,0.68,0.54,0.25,0.29,1,7,5,0,1,2,0,1
195,0.2,0.42,0.99,0.37,1,10,5,0,1,2,0,0
196,0.75,0.28,0.83,0.32,1,5,5,0,2,0,0,0
197,0.74,0.93,0.51,0.47,1,8,5,0,2,0,0,0
198,0.83,0.31,0.87,0.02,1,10,5,0,0,2,1,0
199,0.27,0.33,0.38,0.97,1,1,5,0,1,0,0,0
200,0.51,0.71,0.37,0.89,10,1,1,0,1,1,1,1
201,0.25,0.27,0.66,0.49,2,6,1,0,1,1,1,0
202,0.44,0.78,0.88,0.3,2,11,1,0,1,1,1,0
203,0.6,0.09,0.39,0.53,2,2,1,0,2,1,1,0
204,0.81,0.62,0.02,0.66,2,10,1,0,1,1,1,0
205,0.44,0.96,0.56,0.25,8,6,1,0,0,1,2,0
206,0.44,0.04,0.44,0.79,10,8,1,0,0,1,1,0
207,0.03,0.61,0.3,0.14,2,14,1,0,0,1,0,0
208,0.98,0.57,0.9,0.3,6,8,1,0,1,1,1,0
209,0.74,0.5,0.36,0.81,2,10,1,0,1,1,1,0
210,0.43,0.52,0.79,0.76,3,13,1,0,0,1,0,0
211,0.76,0.15,0.46,0.32,2,10,1,0,1,2,1,0
212,0.27,0.47,0.85,0.06,10,2,1,0,2,1,1,0
213,0.02,0.8,0.41,0.5,2,4,1,0,1,1,1,0
214,0.25,0.58,0.1,0.73,2,1,1,0,2,1,1,0
215,0.09,0.14,0.37,0.83,10,6,1,0,2,1,1,0
216,0.88,0.62,0.49,0.54,2,14,1,0,0,1,1,0
217,0.68,0.56,0.03,0.36,2,10,1,0,1,1,1,0
218,0.79,0.64,0.47,0.24,2,11,1,0,2,1,2,0
219,0.58,0.41,0.48,0.74,2,13,1,0,0,1,1,1
220,0.53,0.61,0.28,0.63,2,7,1,0,0,1,1,1
221,0.46,0.62,0.81,0.35,4,6,1,0,1,1,1,1
222,0.93,0.61,0.67,0.84,2,11,1,0,0,1,1,0
223,0.74,0.58,0.92,0.26,2,2,1,0,0,1,1,0
224,0.54,0.51,0.4,0.88,2,10,1,0,1,1,1,0
225,0.18,0.6,0.75,0.25,2,12,1,0,2,1,0,0
226,0.32,0.55,0.51,0.32,2,11,1,0,1,1,1,1
227,0.6,0.52,0.67,0.15,6,12,1,0,1,1,0,1
228,0.91,0.6,0.53,0.04,2,10,1,0,0,1,1,0
229,0.57,0.58,0.52,0.6,2,10,1,0,1,1,1,0
230,0.93,0.47,0.8,0.09,2,5,1,0,1,1,1,0
231,0.52,0.85,0.17,0.29,2,8,1,0,1,1,1,1
232,0.84,0.4,0.52,0.73,2,5,1,0,1,1,1,0
233,0.29,0.93,0.48,0.44,2,14,1,0,1,1,1,1
234,0.73,0.36,0.99,0.1,2,10,1,0,1,1,1,0
235,0.1,0.09,0.68,0.68,3,2,1,0,1,1,1,0
236,0.97,0.69,0.48,0.48,2,14,1,0,1,1,1,0
237,0.51,0.69,0.37,0.66,2,11,1,0,1,1,1,0
238,0.41,0.81,0.29,0.63,2,13,1,0,1,1,1,0
239,0.65,0.61,0.17,0.46,2,12,1,0,0,1,1,1
240,0.4,0.76,0.62,0.04,2,6,1,0,1,1,1,0
241,0.11,0.18,0.74,0.98,2,10,1,0,0,1,1,1
242,0.06,0.7,0.68,0.3,2,0,1,0,1,1,1,0
243,0.97,0.05,0.56,0.48,2,7,1,0,1,1,1,0
244,0.97,0.57,0.31,0.73,10,0,1,0,1,1,1,0
245,0.68,0.88,0.38,0.42,2,0,1,0,1,1,1,0
246,0.49,0.93,0.36,0.49,2,13,1,0,1,1,1,0
247,0.54,0.78,0.36,0.44,2,9,1,0,1,1,1,1
248,0.1,0.19,0.16,0.55,2,2,1,0,0,1,1,1
249,0.67,0.97,0.82,0.59,2,12,1,0,1,1,1,0
250,0.02,0.7,0.24,0.72,2,9,1,0,2,2,1,0
251,0.28,0.05,0.73,0.52,2,1,1,0,0,1,1,0
252,0.59,0.21,0.42,0.1,10,0,1,0,1,1,1,0
253,0.47,0.57,0.32,0.44,2,7,1,0,1,1,1,0
254,0.97,0.44,0.98,0.96,2,14,1,0,0,1,1,0
255,0.62,0.01,0.53,0.13,10,14,1,0,2,1,1,0
256,0.49,0.13,0.5,0.81,2,6,1,0,0,1,1,0
257,0.01,0.85,0.8,0.6,10,7,1,0,1,1,1,0
258,0.34,0.78,0.92,0.51,3,13,1,0,0,1,1,1
259,0.85,0.72,0.04,0.48,2,5,1,0,0,1,1,0
260,0.64,0.02,0.2,0.26,2,2,1,0,1,1,1,0
261,0.63,0.96,0.61,0.49,10,12,1,0,1,1,1,0
262,0.56,0.93,0.74,0.39,2,12,1,0,1,1,1,0
263,0.3,0.59,0.54,0.53,2,8,1,0,0,1,1,0
264,0.76,0.88,0.02,0.02,2,1,1,0,0,1,1,1
265,0.62,0.79,0.45,0.6,2,8,1,0,1,1,1,0
266,0.6,0.35,0.08,0.68,2,9,1,0,1,1,1,0
267,0.52,0.54,0.39,0.48,3,7,1,0,2,1,1,0
268,0.51,0.63,0.81,0.48,2,9,1,0,2,1,1,1
269,0.38,0.37,0.42,0.93,2,4,1,0,0,1,1,0
270,0.35,0.09,0.65,0.63,2,7,1,0,1,1,1,1
271,0.12,0.29,0.97,0.43,9,1,1,0,1,1,1,1
272,0.35,0.82,0.09,0.32,2,0,1,0,0,0,1,0
273,0.19,0.57,0.74,0.97,10,8,1,0,2,1,2,0
274,0.42,0.33,0.86,0.3,10,8,1,0,0,1,1,0
275,0.98,0.48,0.06,0.36,2,10,1,0,2,1,1,0
276,0.41,0.61,0.49,0.42,2,7,1,0,1,1,1,0
277,0.35,0.5,0.03,0.67,11,0,1,0,1,1,1,0
278,0.39,0.73,0.21,0.43,2,1,1,0,1,1,1,0
279,0.36,0.13,0.75,0.24,2,1,1,0,0,0,1,0
280,0.78,0.81,0.74,0.14,10,3,1,0,1,1,2,0
281,0.63,0.58,0.36,0.09,2,10,1,0,2,1,1,0
282,0.8,0.51,0.39,0.92,2,3,1,0,0,1,1,1
283,0.06,0.3,0.47,0.39,2,13,1,0,0,1,1,0
284,0.51,0.46,0.58,0.73,10,11,1,0,0,1,1,1
285,0.44,0.18,0.5,0.33,2,10,1,0,0,1,1,0
286,0.08,0.53,0.38,0.94,2,1,1,0,1,1,1,1
287,0.52,0.9,0.43,0.49,2,1,1,0,0,1,0,0
288,0.54,0.76,0.05,0.51,10,12,1,0,1,2,1,0
289,0.23,0.58,0.62,0.51,2,8,1,0,1,1,1,1
290,0.86,0.03,0.48,0.23,2,7,1,0,1,1,1,0
291,0.93,0.47,0.19,0.47,2,5,1,0,1,1,1,0
292,0.93,0.6,0.53,0.36,2,7,1,0,1,1,1,0
293,0.09,0.4,0.48,0.83,2,12,1,0,0,1,1,1
294,0.78,0.54,0.73,0.95,2,10,1,0,0,2,1,0
295,0.5,0.33,0.39,0.73,2,12,1,0,1,1,1,0
296,0.95,0.99,0.99,0.56,2,12,1,0,1,2,1,0
297,0.4,0.73,0.68,0.59,7,6,1,0,0,1,1,1
298,0.11,0.35,0.42,0.79,2,9,1,0,1,1,1,1
299,0.85,0.66,0.56,0.13,2,2,1,0,0,1,1,0
300,0.53,0.64,0.5,0.58,3,10,6,0,1,0,1,0
301,0.83,0.43,0.55,0.34,3,2,6,0,1,0,1,0
302,0.49,0.55,0.86,1.0,7,10,6,0,1,0,1,0
303,0.88,0.48,0.54,0.78,3,11,6,0,0,0,1,0
304,0.47,0.74,0.31,0.54,3,6,6,0,0,0,1,0
305,0.61,0.2,0.39,0.89,3,6,6,0,1,0,1,1
306,0.02,0.55,0.56,0.1,3,12,6,0,0,1,1,0
307,0.25,0.72,0.5,0.39,8,10,6,0,1,0,1,0
308,0.73,0.66,0.57,0.23,10,11,6,0,0,0,1,0
309,0.6,0.69,0.51,0.39,3,10,6,0,1,0,1,0
310,0.44,0.81,0.16,0.56,3,9,6,0,1,0,1,0
311,0.58,0.94,0.53,0.41,3,10,6,0,1,0,1,0
312,0.26,0.59,0.07,0.49,3,0,6,0,1,0,0,0
313,0.5,0.17,0.57,0.21,3,13,6,0,1,0,1,1
314,0.96,0.64,0.47,0.62,3,9,6,0,1,0,1,0
315,0.57,0.11,0.97,0.74,3,9,6,0,0,0,1,0
316,0.55,0.95,0.76,0.47,5,11,6,0,1,0,1,0
317,0.67,0.68,0.39,0.23,3,6,6,0,1,0,1,1
318,0.42,0.55,0.3,0.92,3,11,6,0,2,0,1,0
319,0.03,0.8,0.49,0.72,9,8,6,0,0,0,1,1
320,0.7,0.21,0.23,0.28,3,3,6,0,0,0,1,1
321,0.54,0.48,0.16,0.21,4,13,6,0,0,0,1,0
322,0.57,0.25,0.15,0.18,3,10,6,0,1,0,0,0
323,0.16,0.89,0.13,0.25,3,1,6,0,1,0,1,0
324,0.56,0.6,0.11,0.36,3,12,6,0,1,0,1,0
325,0.24,0.87,0.33,0.23,3,9,6,0,0,0,1,0
326,0.18,0.07,0.5,0.93,3,10,6,0,1,1,1,0
327,0.4,0.43,0.53,0.35,3,11,6,0,1,0,1,0
328,0.9,0.79,0.67,0.44,3,1,6,0,1,0,1,0
329,0.25,0.29,0.8,0.21,11,13,6,0,1,0,1,0
330,0.97,0.69,0.68,0.16,3,12,6,0,1,0,1,0
331,0.21,0.81,0.95,0.45,3,8,6,0,1,0,1,0
332,0.7,0.62,0.38,0.32,3,6,6,0,1,0,1,0
333,0.11,0.31,0.59,0.15,3,14,6,0,1,2,1,1
334,0.67,0.67,0.47,0.21,4,8,6,0,0,0,1,1
335,0.74,0.38,0.05,0.35,3,0,6,0,0,0,1,0
336,0.1,0.48,0.15,0.89,10,5,6,0,1,0,1,1
337,0.7,0.26,0.4,0.44,3,4,6,0,1,0,1,0
338,0.7,0.56,0.18,0.66,10,14,6,0,2,0,1,0
339,0.68,0.53,0.96,0.36,3,6,6,0,1,0,1,0
340,0.4,0.03,0.89,0.32,3,0,6,0,1,0,1,0
341,0.71,0.44,0.5,0.87,3,8,6,0,1,0,1,0
342,0.87,0.99,0.04,0.68,10,8,6,0,1,0,1,0
343,0.69,0.43,0.45,0.41,3,4,6,0,1,0,1,0
344,0.28,0.45,0.69,0.08,3,0,6,0,2,0,1,0
345,0.12,0.68,0.45,0.66,3,4,6,0,0,0,1,0
346,0.45,0.61,0.52,0.04,4,8,6,0,2,0,1,1
347,0.94,0.03,0.46,0.97,3,3,6,0,0,0,1,0
348,0.63,0.23,0.44,0.33,9,1,6,0,1,0,1,1
349,0.98,0.7,0.54,0.56,5,10,6,0,0,0,1,0
350,0.75,0.83,0.46,0.17,3,3,6,0,1,0,1,0
351,0.62,0.56,0.39,0.98,5,14,6,0,1,0,1,0
352,0.06,0.9,0.41,0.35,9,2,6,0,1,0,1,0
353,0.63,0.98,0.57,0.5,9,13,6,0,1,0,1,0
354,0.6,0.4,0.31,0.42,3,10,6,0,1,0,1,0
355,0.88,0.63,0.48,0.49,3,7,6,0,1,2,1,1
356,0.5,0.25,0.41,0.29,3,1,6,0,1,1,1,0
357,0.64,0.73,0.87,0.16,3,2,6,0,0,0,1,0
358,0.34,0.61,0.77,0.89,3,0,6,0,0,0,1,0
359,0.65,0.66,0.74,0.72,3,6,6,0,1,0,1,0
360,0.45,0.6,0.79,0.68,3,7,6,7,0,0,1,0
361,0.45,0.3,0.53,0.43,3,8,6,7,0,0,1,0
362,0.27,0.14,0.28,0.8,10,0,6,7,1,0,1,0
363,0.31,0.44,0.53,0.82,3,6,6,7,1,0,1,0
364,0.31,0.16,0.52,0.39,3,6,6,7,1,0,1,0
365,0.71,0.83,0.59,0.63,10,0,6,7,1,0,1,0
366,0.73,0.63,0.9,0.1,3,14,6,7,2,2,1,0
367,0.92,0.93,0.33,0.34,7,0,6,7,1,1,0,0
368,0.54,0.49,0.08,0.39,7,7,6,7,1,0,0,0
369,0.26,0.56,0.59,0.77,3,11,6,7,0,0,1,1
370,0.5,0.44,0.82,0.45,10,13,6,7,0,2,1,0
371,0.04,0.49,0.15,0.61,3,3,6,7,0,0,1,0
372,0.9,0.18,0.8,0.4,3,10,6,7,1,0,1,1
373,0.62,0.19,0.16,0.61,3,10,6,7,1,0,1,0
374,0.12,0.74,0.37,0.0,8,2,6,7,1,0,1,0
375,0.12,0.25,0.95,0.13,3,10,6,7,1,0,1,1
376,0.21,0.46,0.33,0.72,3,3,6,7,1,0,0,0
377,0.1,0.68,0.57,0.37,3,13,6,7,1,0,1,0
378,0.65,0.73,0.56,0.38,3,13,6,7,1,0,1,1
379,0.55,0.78,0.6,0.4,3,8,6,7,1,0,1,0
380,0.11,0.78,0.46,0.92,3,8,6,7,0,0,1,0
381,0.56,0.24,0.56,0.81,3,13,6,7,1,0,1,0
382,0.98,0.24,0.43,0.62,3,0,6,7,1,0,1,0
383,0.47,0.36,0.62,0.07,10,13,6,7,1,0,1,0
384,0.34,0.14,0.24,0.35,3,10,6,7,0,0,1,0
385,0.67,0.4,0.43,0.9,7,8,6,7,1,1,1,0
386,0.32,0.78,0.93,0.41,3,10,6,7,1,0,1,1
387,0.91,0.21,0.46,0.23,10,9,6,7,0,0,1,0
388,0.89,0.99,0.05,0.19,3,10,6,7,1,0,1,0
389,0.59,0.85,0.84,0.86,3,10,6,7,0,0,1,0
390,0.38,0.28,0.4,0.52,3,6,6,7,1,0,1,0
391,0.55,0.63,0.24,0.72,7,0,6,7,1,1,1,1
392,0.29,0.07,0.56,0.6,3,13,6,7,1,0,1,0
393,0.85,0.76,0.74,0.8,3,9,6,7,1,0,1,1
394,0.79,0.55,0.93,0.31,3,7,6,7,1,0,1,0
395,0.32,0.07,0.35,0.5,6,2,6,7,1,0,1,0
396,0.1,0.46,0.69,0.55,3,6,6,7,1,0,1,0
397,0.45,0.51,0.23,0.07,3,13,6,7,1,0,1,0
398,0.69,0.89,0.29,0.44,3,4,6,7,1,0,0,0
399,0.8,0.52,0.78,0.91,3,11,6,7,1,0,1,0
400,0.8,0.35,0.95,0.13,4,4,2,7,0,0,1,0
401,0.31,0.91,0.49,0.71,10,5,2,7,0,0,0,1
402,0.26,0.36,0.55,0.85,4,5,2,7,1,0,0,1
403,0.53,0.31,0.33,0.94,4,1,2,7,1,1,0,0
