,Credit_Card_Exceed_Months,Employment_Type,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Score,Joined_Income_Binned,Income_Binned,Loan_Amount_Binned,Total_Loan_Sum_Binned,Loan_Amount,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision
22,1.0,employer,10.0,yes,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,6.0,High_Joined,Low_Income,Small_Loan,Medium_Loan_Sum,210738.0,5140.0,946444.0,17051.0,reject
23,1.0,employer,15.0,no,normal,2.0,5.0,3.0,2.0,2.0,1.0,condominium,10.0,Johor,3.0,6.0,Low_Joined,High_Income,Small_Loan,High_Loan_Sum,176932.0,11852.0,1308511.0,10653.0,accept
24,1.0,employer,19.0,yes,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,12.0,Johor,3.0,9.0,Medium_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,508544.0,9605.0,803230.0,13714.0,accept
25,1.0,employer,11.0,no,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,8.0,High_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,386823.0,7185.0,1330083.0,16065.0,accept
26,1.0,employer,15.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,7.0,Medium_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,247640.0,6547.0,666752.0,13449.0,accept
27,1.0,employer,21.0,no,platinum,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,9.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,255874.0,8538.0,834522.0,13984.0,accept
28,1.0,employer,18.0,yes,platinum,2.0,15.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,8.0,Medium_Joined,High_Income,High_Loan,High_Loan_Sum,767690.0,10051.0,1227772.0,12280.0,accept
29,1.0,employer,20.0,no,gold,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,1.0,7.0,High_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,249608.0,9707.0,1011241.0,15707.0,accept
30,1.0,employer,13.0,yes,gold,2.0,13.0,3.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,8.0,Medium_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,379899.0,7073.0,1413168.0,13576.0,accept
31,1.0,employer,18.0,no,gold,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,9.0,Medium_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,374745.0,6552.0,741159.0,14895.0,reject
32,1.0,employer,15.0,yes,normal,2.0,5.0,4.0,2.0,1.0,3.0,condominium,10.0,Johor,1.0,6.0,High_Joined,High_Income,Small_Loan,High_Loan_Sum,110747.0,11154.0,1294348.0,18851.0,reject
33,1.0,employer,18.0,no,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,Medium_Joined,High_Income,Medium_Loan,Medium_Loan_Sum,379448.0,10817.0,818703.0,13858.0,accept
34,1.0,employer,14.0,yes,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,1.0,6.0,Medium_Joined,Low_Income,Medium_Loan,Small_Loan_Sum,362448.0,3698.0,538308.0,14981.0,reject
35,1.0,employer,24.0,no,normal,2.0,15.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,1.0,8.0,High_Joined,Medium_Income,Medium_Loan,Small_Loan_Sum,550775.0,6425.0,481871.0,15957.0,accept
36,1.0,employer,18.0,yes,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,3.0,7.0,High_Joined,High_Income,Small_Loan,Medium_Loan_Sum,215106.0,10565.0,757268.0,17968.0,reject
37,1.0,employer,11.0,no,gold,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,405343.0,6116.0,746446.0,12287.0,accept
38,1.0,employer,22.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,11.0,Johor,1.0,7.0,High_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,306055.0,7443.0,1409154.0,19932.0,reject
39,1.0,employer,19.0,no,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,1.0,9.0,High_Joined,Medium_Income,Medium_Loan,Small_Loan_Sum,503581.0,7322.0,601169.0,17488.0,accept
40,1.0,employer,20.0,yes,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,Medium_Joined,Medium_Income,Small_Loan,High_Loan_Sum,132350.0,7943.0,1413238.0,14137.0,accept
41,1.0,employer,14.0,no,gold,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,7.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,139803.0,7445.0,937765.0,12078.0,reject
42,1.0,employer,10.0,yes,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,3.0,6.0,Low_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,197249.0,8750.0,903515.0,10349.0,accept
43,1.0,employer,18.0,no,gold,2.0,12.0,2.0,2.0,2.0,2.0,condominium,10.0,Johor,3.0,6.0,Low_Joined,Medium_Income,Medium_Loan,Small_Loan_Sum,396011.0,7142.0,439917.0,10707.0,accept
44,1.0,employer,20.0,yes,gold,2.0,5.0,2.0,2.0,2.0,1.0,condominium,10.0,Johor,1.0,6.0,Low_Joined,High_Income,Medium_Loan,High_Loan_Sum,565418.0,10723.0,1179235.0,9137.0,reject
45,1.0,employer,15.0,no,platinum,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,7.0,High_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,220915.0,8263.0,890473.0,18803.0,accept
46,1.0,employer,14.0,yes,normal,2.0,15.0,2.0,2.0,3.0,1.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,238990.0,7616.0,657335.0,12506.0,reject
47,1.0,employer,13.0,no,normal,2.0,5.0,4.0,2.0,2.0,2.0,condominium,10.0,Johor,2.0,9.0,Medium_Joined,Medium_Income,High_Loan,High_Loan_Sum,763798.0,7968.0,1438566.0,12627.0,accept
48,1.0,employer,14.0,yes,gold,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,3.0,9.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,155112.0,6821.0,927998.0,13802.0,accept
49,1.0,employer,21.0,no,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Low_Income,High_Loan,Medium_Loan_Sum,623271.0,5697.0,794586.0,15483.0,accept
50,1.0,employer,17.0,yes,normal,2.0,5.0,4.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,Low_Joined,Low_Income,High_Loan,Small_Loan_Sum,732986.0,5680.0,499844.0,10774.0,accept
51,1.0,employer,17.0,no,normal,2.0,5.0,2.0,2.0,2.0,3.0,condominium,10.0,Johor,3.0,7.0,Low_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,475541.0,8893.0,1394458.0,8679.0,accept
52,1.0,employer,20.0,yes,normal,2.0,9.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,Medium_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,364495.0,6905.0,884635.0,14799.0,accept
53,1.0,employer,22.0,no,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,6.0,Medium_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,497623.0,9118.0,1254034.0,14645.0,accept
54,1.0,employer,11.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,9.0,Low_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,329944.0,7887.0,1220164.0,11040.0,accept
55,1.0,employer,17.0,no,normal,2.0,15.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,9.0,Medium_Joined,Medium_Income,High_Loan,Medium_Loan_Sum,783763.0,6819.0,1122740.0,11934.0,reject
56,1.0,employer,23.0,yes,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,3.0,6.0,High_Joined,High_Income,Small_Loan,High_Loan_Sum,231771.0,11763.0,1423797.0,17178.0,accept
57,1.0,employer,21.0,no,normal,2.0,5.0,3.0,2.0,1.0,3.0,condominium,10.0,Johor,3.0,8.0,Low_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,417756.0,8643.0,1372361.0,9864.0,accept
58,1.0,employer,19.0,yes,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,1.0,9.0,Medium_Joined,Medium_Income,Small_Loan,High_Loan_Sum,236410.0,8175.0,1194440.0,13815.0,accept
59,1.0,employer,23.0,no,gold,2.0,5.0,2.0,2.0,2.0,2.0,condominium,10.0,Johor,1.0,9.0,Medium_Joined,Medium_Income,High_Loan,Small_Loan_Sum,659582.0,6153.0,662544.0,14661.0,reject
60,1.0,employer,24.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,1.0,7.0,Medium_Joined,Medium_Income,Small_Loan,High_Loan_Sum,278198.0,6693.0,1381890.0,13067.0,accept
61,1.0,employer,21.0,no,gold,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,256197.0,8337.0,673952.0,13691.0,accept
62,1.0,employer,20.0,yes,normal,2.0,11.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,1.0,7.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,177790.0,6864.0,1100588.0,14990.0,reject
63,1.0,employer,19.0,no,gold,2.0,8.0,2.0,2.0,4.0,2.0,condominium,10.0,Johor,2.0,8.0,High_Joined,Medium_Income,Medium_Loan,Small_Loan_Sum,307187.0,7363.0,659895.0,15895.0,reject
64,1.0,employer,19.0,yes,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,11.0,Johor,1.0,9.0,High_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,141575.0,7848.0,525593.0,16949.0,accept
65,1.0,employer,15.0,no,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,6.0,High_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,211662.0,7510.0,909020.0,17578.0,accept
66,1.0,employer,13.0,yes,normal,2.0,15.0,2.0,2.0,1.0,2.0,condominium,11.0,Johor,2.0,7.0,Medium_Joined,High_Income,High_Loan,Medium_Loan_Sum,598378.0,11778.0,980732.0,15020.0,accept
67,1.0,employer,24.0,no,normal,2.0,5.0,4.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,9.0,Medium_Joined,Medium_Income,High_Loan,Medium_Loan_Sum,695823.0,8926.0,1001510.0,14525.0,accept
68,1.0,employer,21.0,yes,gold,2.0,5.0,2.0,2.0,3.0,2.0,bungalow,10.0,Johor,1.0,9.0,Medium_Joined,Medium_Income,High_Loan,Medium_Loan_Sum,686314.0,6394.0,783852.0,14162.0,reject
69,1.0,employer,22.0,no,normal,2.0,11.0,3.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,9.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,239044.0,7771.0,1089965.0,11775.0,reject
70,1.0,employer,21.0,yes,normal,2.0,10.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,7.0,High_Joined,Medium_Income,Small_Loan,High_Loan_Sum,141133.0,7556.0,1233187.0,16077.0,accept
71,1.0,employer,11.0,no,platinum,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,7.0,High_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,402533.0,7186.0,1221751.0,17361.0,accept
72,1.0,employer,13.0,yes,gold,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,8.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,176797.0,7256.0,911230.0,13055.0,accept
73,1.0,employer,11.0,no,normal,2.0,5.0,3.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,7.0,Medium_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,557110.0,7834.0,1229078.0,14788.0,accept
74,1.0,employer,16.0,yes,gold,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,1.0,9.0,High_Joined,Low_Income,Medium_Loan,Small_Loan_Sum,362007.0,4753.0,556824.0,15715.0,accept
75,1.0,employer,15.0,no,gold,2.0,15.0,3.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,8.0,Low_Joined,High_Income,Medium_Loan,High_Loan_Sum,475184.0,10244.0,1429656.0,10203.0,accept
76,1.0,employer,19.0,yes,gold,2.0,15.0,2.0,2.0,4.0,3.0,condominium,10.0,Johor,2.0,8.0,Medium_Joined,Low_Income,High_Loan,High_Loan_Sum,713740.0,3590.0,1270226.0,13857.0,reject
77,1.0,employer,18.0,no,normal,2.0,5.0,4.0,2.0,2.0,2.0,condominium,10.0,Johor,2.0,7.0,High_Joined,Low_Income,High_Loan,High_Loan_Sum,777663.0,4480.0,1370283.0,16619.0,accept
78,1.0,employer,18.0,yes,gold,2.0,15.0,4.0,2.0,3.0,1.0,condominium,10.0,Johor,3.0,8.0,High_Joined,Low_Income,Small_Loan,Medium_Loan_Sum,197664.0,4464.0,800328.0,16201.0,accept
79,1.0,employer,11.0,no,normal,2.0,5.0,4.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,6.0,Low_Joined,Medium_Income,Medium_Loan,Small_Loan_Sum,505385.0,7750.0,690450.0,8474.0,accept
80,1.0,employer,24.0,yes,normal,2.0,5.0,2.0,2.0,2.0,1.0,condominium,10.0,Johor,1.0,9.0,High_Joined,Low_Income,High_Loan,Small_Loan_Sum,685977.0,5029.0,436358.0,17934.0,accept
81,1.0,employer,23.0,no,gold,2.0,5.0,4.0,2.0,1.0,2.0,condominium,10.0,Johor,1.0,9.0,Medium_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,317361.0,8807.0,900288.0,12263.0,accept
82,1.0,employer,21.0,yes,normal,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,1.0,9.0,Low_Joined,High_Income,Medium_Loan,Medium_Loan_Sum,461385.0,11639.0,884482.0,9536.0,accept
83,1.0,employer,15.0,no,platinum,2.0,6.0,3.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,7.0,Low_Joined,Medium_Income,Small_Loan,High_Loan_Sum,185424.0,8368.0,1366202.0,10966.0,accept
84,1.0,employer,20.0,yes,gold,2.0,5.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,3.0,7.0,High_Joined,Medium_Income,Medium_Loan,Small_Loan_Sum,522489.0,8157.0,591823.0,17945.0,accept
85,1.0,employer,18.0,no,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,7.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,137116.0,8875.0,1141894.0,14301.0,accept
86,1.0,employer,17.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Low_Income,High_Loan,Small_Loan_Sum,640133.0,3600.0,685876.0,12713.0,accept
87,1.0,employer,10.0,no,normal,2.0,15.0,2.0,2.0,3.0,2.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Medium_Income,Small_Loan,High_Loan_Sum,169182.0,9463.0,1223803.0,12835.0,accept
88,1.0,employer,10.0,yes,gold,2.0,5.0,2.0,2.0,3.0,1.0,condominium,10.0,Johor,3.0,9.0,Low_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,352362.0,8973.0,1336122.0,9567.0,accept
89,1.0,employer,15.0,no,normal,2.0,12.0,3.0,2.0,1.0,3.0,condominium,10.0,Johor,1.0,6.0,Medium_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,127205.0,7408.0,464657.0,13331.0,reject
90,1.0,employer,16.0,yes,normal,2.0,5.0,4.0,2.0,2.0,2.0,condominium,10.0,Johor,3.0,6.0,Medium_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,409535.0,8118.0,1256233.0,12860.0,accept
91,1.0,employer,16.0,no,normal,2.0,15.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,8.0,Medium_Joined,Medium_Income,Medium_Loan,High_Loan_Sum,534178.0,6855.0,1199910.0,11878.0,accept
92,1.0,employer,16.0,yes,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,9.0,Medium_Joined,Medium_Income,High_Loan,Small_Loan_Sum,652696.0,7339.0,680814.0,12697.0,reject
93,1.0,employer,16.0,no,gold,2.0,11.0,2.0,2.0,3.0,2.0,condominium,10.0,Johor,1.0,8.0,Medium_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,226900.0,7517.0,679777.0,15057.0,accept
94,1.0,employer,18.0,yes,gold,2.0,15.0,4.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,6.0,High_Joined,Low_Income,Medium_Loan,Medium_Loan_Sum,452995.0,3688.0,840438.0,16100.0,reject
95,1.0,employer,15.0,no,normal,2.0,5.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,2.0,7.0,High_Joined,Medium_Income,Small_Loan,High_Loan_Sum,198801.0,8622.0,1288713.0,19859.0,reject
96,1.0,employer,17.0,yes,normal,2.0,5.0,2.0,2.0,2.0,3.0,condominium,12.0,Johor,2.0,6.0,Low_Joined,High_Income,High_Loan,Small_Loan_Sum,638121.0,11726.0,545646.0,7809.0,reject
97,1.0,employer,22.0,no,normal,2.0,5.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,9.0,High_Joined,High_Income,Small_Loan,Medium_Loan_Sum,247875.0,12519.0,851018.0,15770.0,reject
98,1.0,employer,16.0,yes,gold,2.0,5.0,2.0,2.0,1.0,2.0,condominium,11.0,Johor,3.0,7.0,Low_Joined,High_Income,Small_Loan,Small_Loan_Sum,213253.0,10476.0,600309.0,10001.0,reject
99,1.0,employer,19.0,no,normal,2.0,6.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,3.0,9.0,Low_Joined,High_Income,Medium_Loan,Small_Loan_Sum,403626.0,11799.0,526880.0,10734.0,accept
100,6.0,employer,20.0,yes,gold,2.0,6.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,9.0,Low_Joined,High_Income,High_Loan,High_Loan_Sum,696830.0,10156.0,1395602.0,9790.0,accept
101,6.0,employer,17.0,no,normal,2.0,6.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,1.0,8.0,High_Joined,Medium_Income,High_Loan,Medium_Loan_Sum,589976.0,8281.0,806983.0,18287.0,accept
102,6.0,employer,11.0,yes,gold,2.0,14.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,8.0,Medium_Joined,High_Income,Medium_Loan,Small_Loan_Sum,551583.0,10383.0,562038.0,13096.0,accept
103,6.0,employer,18.0,no,gold,2.0,6.0,2.0,2.0,1.0,3.0,condominium,11.0,Johor,3.0,8.0,Medium_Joined,Low_Income,Medium_Loan,Small_Loan_Sum,517695.0,5428.0,546043.0,13689.0,accept
104,6.0,employer,13.0,yes,normal,2.0,6.0,2.0,2.0,1.0,3.0,condominium,11.0,Johor,2.0,8.0,High_Joined,Medium_Income,High_Loan,High_Loan_Sum,614039.0,6684.0,1215501.0,17239.0,accept
105,6.0,employer,21.0,no,normal,2.0,6.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,3.0,7.0,Medium_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,529936.0,7175.0,750247.0,14175.0,reject
106,6.0,employer,20.0,yes,normal,2.0,6.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,1.0,8.0,High_Joined,High_Income,Medium_Loan,Medium_Loan_Sum,361713.0,10753.0,984563.0,18171.0,accept
107,6.0,employer,13.0,no,gold,2.0,6.0,2.0,2.0,2.0,2.0,condominium,10.0,Johor,2.0,6.0,Medium_Joined,Medium_Income,High_Loan,High_Loan_Sum,668010.0,7132.0,1302913.0,13557.0,accept
108,6.0,employer,12.0,yes,gold,2.0,6.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,8.0,Medium_Joined,Medium_Income,Small_Loan,Medium_Loan_Sum,115453.0,9685.0,1009391.0,14417.0,reject
109,6.0,employer,22.0,no,gold,2.0,6.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,9.0,Low_Joined,High_Income,Medium_Loan,High_Loan_Sum,515894.0,10083.0,1202187.0,11512.0,accept
110,6.0,employer,10.0,yes,normal,2.0,6.0,2.0,2.0,1.0,3.0,condominium,10.0,Johor,2.0,9.0,Medium_Joined,Low_Income,Medium_Loan,Medium_Loan_Sum,436751.0,4466.0,795767.0,12316.0,accept
111,6.0,employer,15.0,no,normal,2.0,6.0,2.0,2.0,1.0,2.0,condominium,10.0,Johor,1.0,7.0,Low_Joined,Medium_Income,Small_Loan,Small_Loan_Sum,260873.0,8145.0,432222.0,8619.0,accept
112,6.0,employer,17.0,yes,normal,2.0,8.0,2.0,2.0,1.0,1.0,condominium,10.0,Johor,2.0,8.0,High_Joined,Medium_Income,Medium_Loan,Medium_Loan_Sum,469773.0,9200.0,1014152.0,17727.0,reject
113,6.0,employer,17.0,no,platinum,2.0,6.0,4.0,2.0,2.0,3.0,condominium,11.0,Johor,1.0,9.0,Medium_Joined,Medium_Income,Medium_Loan,Small_Loan_Sum,418570.0,8955.0,430165.0,13599.0,accept
