,Credit_Card_Exceed_Months,Employment_Type,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Score,Joined_Income_Binned,Income_Binned,Loan_Amount_Binned,Total_Loan_Sum_Binned,Loan_Amount,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision
27,0,1,11,0,2,0,0,0,0,0,2,1,0,0,1,3,2,2,2,1,255874.0,8538.0,834522.0,13984.0,0
28,0,1,8,1,2,0,10,0,0,0,0,1,0,0,1,2,2,0,0,0,767690.0,10051.0,1227772.0,12280.0,0
29,0,1,10,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,1,249608.0,9707.0,1011241.0,15707.0,0
30,0,1,3,1,0,0,8,1,0,0,2,1,0,0,1,2,2,2,1,0,379899.0,7073.0,1413168.0,13576.0,0
31,0,1,8,0,0,0,0,0,0,0,0,1,0,0,1,3,2,2,1,1,374745.0,6552.0,741159.0,14895.0,1
32,0,1,5,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,110747.0,11154.0,1294348.0,18851.0,1
33,0,1,8,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,1,379448.0,10817.0,818703.0,13858.0,0
34,0,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,362448.0,3698.0,538308.0,14981.0,1
35,0,1,14,0,1,0,10,0,0,0,0,1,0,0,0,2,0,2,1,2,550775.0,6425.0,481871.0,15957.0,0
36,0,1,8,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,2,1,215106.0,10565.0,757268.0,17968.0,1
37,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,1,405343.0,6116.0,746446.0,12287.0,0
38,0,1,12,1,1,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,306055.0,7443.0,1409154.0,19932.0,1
39,0,1,9,0,1,0,0,0,0,0,1,1,0,0,0,3,0,2,1,2,503581.0,7322.0,601169.0,17488.0,0
40,0,1,10,1,1,0,0,0,0,0,0,1,0,0,1,1,2,2,2,0,132350.0,7943.0,1413238.0,14137.0,0
41,0,1,4,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,2,1,139803.0,7445.0,937765.0,12078.0,1
42,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,2,2,1,197249.0,8750.0,903515.0,10349.0,0
43,0,1,8,0,0,0,7,0,0,1,1,1,0,0,2,0,1,2,1,2,396011.0,7142.0,439917.0,10707.0,0
44,0,1,10,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,565418.0,10723.0,1179235.0,9137.0,1
45,0,1,5,0,2,0,0,0,0,0,2,1,0,0,1,1,0,2,2,1,220915.0,8263.0,890473.0,18803.0,0
46,0,1,4,1,1,0,10,0,0,2,0,1,0,0,1,0,2,2,2,2,238990.0,7616.0,657335.0,12506.0,1
47,0,1,3,0,1,0,0,2,0,1,1,1,0,0,1,3,2,2,0,0,763798.0,7968.0,1438566.0,12627.0,0
48,0,1,4,1,0,0,0,0,0,0,0,1,0,0,2,3,2,2,2,1,155112.0,6821.0,927998.0,13802.0,0
49,0,1,11,0,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0,1,623271.0,5697.0,794586.0,15483.0,0
50,0,1,7,1,1,0,0,2,0,0,0,1,0,0,1,1,1,1,0,2,732986.0,5680.0,499844.0,10774.0,0
51,0,1,7,0,1,0,0,0,0,1,2,1,0,0,2,1,1,2,1,0,475541.0,8893.0,1394458.0,8679.0,0
52,0,1,10,1,1,0,4,0,0,0,0,1,0,0,1,1,2,2,1,1,364495.0,6905.0,884635.0,14799.0,0
53,0,1,12,0,1,0,0,0,0,0,1,1,0,0,2,0,2,2,1,0,497623.0,9118.0,1254034.0,14645.0,0
54,0,1,1,1,1,0,0,0,0,0,1,1,0,0,2,3,1,2,1,0,329944.0,7887.0,1220164.0,11040.0,0
55,0,1,7,0,1,0,10,0,0,0,1,1,0,0,1,3,2,2,0,1,783763.0,6819.0,1122740.0,11934.0,1
56,0,1,13,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,231771.0,11763.0,1423797.0,17178.0,0
57,0,1,11,0,1,0,0,1,0,0,2,1,0,0,2,2,1,2,1,0,417756.0,8643.0,1372361.0,9864.0,0
58,0,1,9,1,1,0,0,0,0,0,2,1,0,0,0,3,2,2,2,0,236410.0,8175.0,1194440.0,13815.0,0
59,0,1,13,0,0,0,0,0,0,1,1,1,0,0,0,3,2,2,0,2,659582.0,6153.0,662544.0,14661.0,1
60,0,1,14,1,1,0,0,0,0,0,1,1,0,0,0,1,2,2,2,0,278198.0,6693.0,1381890.0,13067.0,0
61,0,1,11,0,0,0,0,0,0,0,2,1,0,0,1,0,2,2,2,2,256197.0,8337.0,673952.0,13691.0,0
62,0,1,10,1,1,0,6,0,0,0,0,1,0,0,0,1,2,2,2,1,177790.0,6864.0,1100588.0,14990.0,1
63,0,1,9,0,0,0,3,0,0,3,1,1,0,0,1,2,0,2,1,2,307187.0,7363.0,659895.0,15895.0,1
64,0,1,9,1,1,0,0,0,0,0,2,1,1,0,0,3,0,2,2,2,141575.0,7848.0,525593.0,16949.0,0
65,0,1,5,0,1,0,0,0,0,0,2,1,0,0,1,0,0,2,2,1,211662.0,7510.0,909020.0,17578.0,0
66,0,1,3,1,1,0,10,0,0,0,1,1,1,0,1,1,2,0,0,1,598378.0,11778.0,980732.0,15020.0,0
67,0,1,14,0,1,0,0,2,0,0,0,1,0,0,1,3,2,2,0,1,695823.0,8926.0,1001510.0,14525.0,0
68,0,1,11,1,0,0,0,0,0,2,1,0,0,0,0,3,2,2,0,1,686314.0,6394.0,783852.0,14162.0,1
69,0,1,12,0,1,0,6,1,0,0,2,1,0,0,1,3,2,2,2,1,239044.0,7771.0,1089965.0,11775.0,1
70,0,1,11,1,1,0,5,0,0,0,0,1,0,0,1,1,0,2,2,0,141133.0,7556.0,1233187.0,16077.0,0
71,0,1,1,0,2,0,0,0,0,0,2,1,0,0,1,1,0,2,1,0,402533.0,7186.0,1221751.0,17361.0,0
72,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,1,176797.0,7256.0,911230.0,13055.0,0
73,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,2,2,1,0,557110.0,7834.0,1229078.0,14788.0,0
74,0,1,6,1,0,0,0,0,0,0,2,1,0,0,0,3,0,1,1,2,362007.0,4753.0,556824.0,15715.0,0
75,0,1,5,0,0,0,10,1,0,0,1,1,0,0,1,2,1,0,1,0,475184.0,10244.0,1429656.0,10203.0,0
76,0,1,9,1,0,0,10,0,0,3,2,1,0,0,1,2,2,1,0,0,713740.0,3590.0,1270226.0,13857.0,1
77,0,1,8,0,1,0,0,2,0,1,1,1,0,0,1,1,0,1,0,0,777663.0,4480.0,1370283.0,16619.0,0
78,0,1,8,1,0,0,10,2,0,2,0,1,0,0,2,2,0,1,2,1,197664.0,4464.0,800328.0,16201.0,0
79,0,1,1,0,1,0,0,2,0,0,1,1,0,0,1,0,1,2,1,2,505385.0,7750.0,690450.0,8474.0,0
80,0,1,14,1,1,0,0,0,0,1,0,1,0,0,0,3,0,1,0,2,685977.0,5029.0,436358.0,17934.0,0
81,0,1,13,0,0,0,0,2,0,0,1,1,0,0,0,3,2,2,1,1,317361.0,8807.0,900288.0,12263.0,0
82,0,1,11,1,1,0,0,0,0,0,2,1,0,0,0,3,1,0,1,1,461385.0,11639.0,884482.0,9536.0,0
83,0,1,5,0,2,0,1,1,0,0,1,1,0,0,2,1,1,2,2,0,185424.0,8368.0,1366202.0,10966.0,0
84,0,1,10,1,0,0,0,0,0,0,2,1,0,0,2,1,0,2,1,2,522489.0,8157.0,591823.0,17945.0,0
85,0,1,8,0,1,0,0,0,0,0,1,1,0,0,2,1,2,2,2,1,137116.0,8875.0,1141894.0,14301.0,0
86,0,1,7,1,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0,2,640133.0,3600.0,685876.0,12713.0,0
87,0,1,0,0,1,0,10,0,0,2,1,1,0,0,1,0,2,2,2,0,169182.0,9463.0,1223803.0,12835.0,0
88,0,1,0,1,0,0,0,0,0,2,0,1,0,0,2,3,1,2,1,0,352362.0,8973.0,1336122.0,9567.0,0
89,0,1,5,0,1,0,7,1,0,0,2,1,0,0,0,0,2,2,2,2,127205.0,7408.0,464657.0,13331.0,1
90,0,1,6,1,1,0,0,2,0,1,1,1,0,0,2,0,2,2,1,0,409535.0,8118.0,1256233.0,12860.0,0
91,0,1,6,0,1,0,10,0,0,0,1,1,0,0,2,2,2,2,1,0,534178.0,6855.0,1199910.0,11878.0,0
92,0,1,6,1,1,0,0,0,0,0,1,1,0,0,2,3,2,2,0,2,652696.0,7339.0,680814.0,12697.0,1
93,0,1,6,0,0,0,6,0,0,2,1,1,0,0,0,2,2,2,2,2,226900.0,7517.0,679777.0,15057.0,0
94,0,1,8,1,0,0,10,2,0,0,1,1,0,0,1,0,0,1,1,1,452995.0,3688.0,840438.0,16100.0,1
95,0,1,5,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,2,0,198801.0,8622.0,1288713.0,19859.0,1
96,0,1,7,1,1,0,0,0,0,1,2,1,2,0,1,0,1,0,0,2,638121.0,11726.0,545646.0,7809.0,1
97,0,1,12,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,2,1,247875.0,12519.0,851018.0,15770.0,1
98,0,1,6,1,0,0,0,0,0,0,1,1,1,0,2,1,1,0,2,2,213253.0,10476.0,600309.0,10001.0,1
99,0,1,9,0,1,0,1,0,0,0,2,1,0,0,2,3,1,0,1,2,403626.0,11799.0,526880.0,10734.0,0
100,5,1,10,1,0,0,1,0,0,0,2,1,0,0,1,3,1,0,0,0,696830.0,10156.0,1395602.0,9790.0,0
101,5,1,7,0,1,0,1,0,0,0,0,1,0,0,0,2,0,2,0,1,589976.0,8281.0,806983.0,18287.0,0
102,5,1,1,1,0,0,9,0,0,0,2,1,0,0,1,2,2,0,1,2,551583.0,10383.0,562038.0,13096.0,0
103,5,1,8,0,0,0,1,0,0,0,2,1,1,0,2,2,2,1,1,2,517695.0,5428.0,546043.0,13689.0,0
104,5,1,3,1,1,0,1,0,0,0,2,1,1,0,1,2,0,2,0,0,614039.0,6684.0,1215501.0,17239.0,0
105,5,1,11,0,1,0,1,0,0,0,1,1,0,0,2,1,2,2,1,1,529936.0,7175.0,750247.0,14175.0,1
106,5,1,10,1,1,0,1,0,0,0,2,1,0,0,0,2,0,0,1,1,361713.0,10753.0,984563.0,18171.0,0
107,5,1,3,0,0,0,1,0,0,1,1,1,0,0,1,0,2,2,0,0,668010.0,7132.0,1302913.0,13557.0,0
108,5,1,2,1,0,0,1,0,0,0,2,1,0,0,1,2,2,2,2,1,115453.0,9685.0,1009391.0,14417.0,1
109,5,1,12,0,0,0,1,0,0,0,0,1,0,0,1,3,1,0,1,0,515894.0,10083.0,1202187.0,11512.0,0
110,5,1,0,1,1,0,1,0,0,0,2,1,0,0,1,3,2,1,1,1,436751.0,4466.0,795767.0,12316.0,0
111,5,1,5,0,1,0,1,0,0,0,1,1,0,0,0,1,1,2,2,2,260873.0,8145.0,432222.0,8619.0,0
112,5,1,7,1,1,0,3,0,0,0,0,1,0,0,1,2,0,2,1,1,469773.0,9200.0,1014152.0,17727.0,1
113,5,1,7,0,2,0,1,2,0,1,2,1,1,0,0,3,2,2,1,2,418570.0,8955.0,430165.0,13599.0,0
114,5,1,2,1,0,0,1,2,0,0,1,1,0,0,0,1,0,2,0,1,741127.0,7573.0,909932.0,17632.0,0
115,5,1,10,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,2,1,143740.0,9350.0,989198.0,14143.0,0
116,5,1,8,1,1,0,1,0,0,0,0,1,0,0,1,2,1,0,1,1,584940.0,12012.0,877950.0,11217.0,1
117,5,1,4,0,0,0,1,2,0,1,0,1,0,0,0,3,0,2,1,1,584865.0,7084.0,1049055.0,17446.0,0
118,5,1,6,1,1,0,9,0,0,0,0,1,0,0,0,2,2,1,0,1,594021.0,3886.0,1072056.0,13081.0,1
119,5,1,5,0,1,0,1,0,0,0,2,1,0,0,1,1,1,0,1,2,443052.0,10775.0,462999.0,10706.0,0
120,5,1,0,1,1,0,8,2,0,0,2,1,0,0,0,1,2,2,0,2,784252.0,6909.0,593755.0,12927.0,0
121,5,1,12,0,1,0,4,2,0,0,2,1,0,0,1,3,2,0,1,0,320031.0,10159.0,1304388.0,12095.0,0
122,5,1,10,1,1,0,1,0,0,0,1,1,2,0,2,2,1,2,1,1,586171.0,8167.0,986044.0,11267.0,0
123,5,1,8,0,1,0,10,0,0,0,1,1,0,0,0,3,2,1,1,2,426166.0,4460.0,527257.0,14105.0,0
124,5,1,12,1,1,0,1,0,0,0,2,1,0,0,1,0,1,0,1,1,507835.0,12483.0,911219.0,11297.0,0
125,5,1,6,0,1,0,1,0,0,0,0,1,1,0,1,1,0,2,2,1,270671.0,9045.0,758809.0,19771.0,1
126,5,1,10,1,1,0,1,0,0,0,0,1,0,0,0,1,2,2,2,2,269188.0,8530.0,602708.0,12392.0,0
127,5,1,7,0,2,0,1,0,0,0,1,1,0,0,1,2,2,1,0,1,598731.0,3761.0,901079.0,14274.0,1
128,5,1,10,1,0,0,9,0,0,0,0,1,0,0,0,3,2,2,2,0,105577.0,6671.0,1338424.0,14411.0,0
129,5,1,4,0,0,0,1,0,0,0,2,1,0,0,1,0,2,1,0,1,787954.0,4649.0,1158899.0,13536.0,0
130,5,1,7,1,1,0,1,2,0,0,0,1,0,0,2,1,2,0,1,1,462446.0,12169.0,924297.0,13817.0,0
131,5,1,13,0,1,0,1,0,0,0,0,1,0,0,2,2,1,1,1,2,477993.0,3912.0,605985.0,9906.0,1
132,5,1,7,1,1,0,1,0,0,0,1,1,0,0,0,1,1,2,1,0,489336.0,9227.0,1337201.0,10205.0,0
133,5,1,10,0,2,0,1,2,0,0,1,1,0,0,2,1,2,1,1,1,513874.0,4144.0,1073726.0,13200.0,0
134,5,1,5,1,1,0,1,0,0,0,2,1,0,0,1,2,0,2,0,1,656453.0,6349.0,748486.0,16221.0,0
135,5,1,6,0,1,0,8,0,0,0,1,1,0,0,1,1,2,2,0,2,609577.0,9671.0,677064.0,13426.0,0
136,5,1,5,1,1,0,7,0,0,0,2,1,1,0,2,2,1,2,1,0,386539.0,9516.0,1319239.0,9775.0,0
137,5,1,6,0,2,0,1,0,0,1,2,1,0,0,0,0,2,1,2,1,137642.0,4940.0,842850.0,12586.0,1
138,5,1,7,1,1,0,1,0,0,0,2,1,0,0,1,1,2,2,2,0,183586.0,8191.0,1427018.0,13774.0,1
139,5,1,8,0,1,0,1,0,0,1,0,1,1,0,2,3,2,2,1,0,527945.0,6345.0,1391346.0,13736.0,0
140,5,1,13,1,2,0,1,2,0,1,2,1,0,0,2,2,1,2,0,2,676083.0,8945.0,438094.0,8358.0,0
141,5,1,10,0,0,0,1,0,0,0,1,1,0,0,0,3,1,2,1,2,401931.0,8214.0,472127.0,8037.0,0
142,5,1,13,1,0,0,1,1,0,0,1,1,0,0,1,2,0,1,1,1,573972.0,4938.0,934288.0,19728.0,0
143,5,1,11,0,1,0,1,0,0,0,1,1,1,0,2,3,2,1,0,2,693005.0,3699.0,623478.0,13980.0,0
144,5,1,2,1,1,0,1,0,0,0,2,1,0,0,2,2,2,1,0,2,630876.0,4008.0,552448.0,14697.0,0
145,5,1,2,0,0,0,1,0,0,0,0,1,0,0,2,2,1,2,0,1,740785.0,8222.0,842418.0,7731.0,0
146,5,1,10,1,1,0,1,2,0,0,0,1,2,0,1,0,1,2,1,2,557554.0,8932.0,646904.0,9306.0,0
147,5,1,13,0,1,0,3,0,0,0,0,1,0,0,2,2,2,0,2,0,242183.0,10709.0,1307524.0,12481.0,0
148,5,1,12,1,1,0,1,0,0,0,2,1,0,0,0,1,2,0,2,0,173436.0,12246.0,1214167.0,14406.0,0
149,5,1,7,0,0,0,1,0,0,0,1,1,0,0,0,2,1,2,2,1,237187.0,6858.0,1172482.0,8439.0,0
150,5,1,2,1,1,0,9,0,0,1,0,1,0,0,0,2,2,0,1,1,331828.0,9975.0,873957.0,12983.0,0
151,5,1,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,1,1,522186.0,6134.0,849370.0,7725.0,1
152,5,1,12,1,1,0,4,0,0,0,2,1,0,0,0,1,1,2,2,1,151474.0,9630.0,753494.0,9126.0,1
153,5,1,3,0,2,0,1,0,0,0,1,1,0,0,0,1,2,2,0,0,635895.0,9895.0,1334964.0,14696.0,0
154,5,1,11,1,0,0,1,0,0,1,1,1,0,0,2,2,2,0,1,1,577961.0,10954.0,923249.0,13103.0,0
155,5,1,12,0,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1,1,471063.0,12191.0,1084386.0,10866.0,1
156,5,1,11,1,1,0,1,0,0,0,2,1,0,0,1,0,0,1,1,1,526550.0,5530.0,1146292.0,16147.0,0
157,5,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,593441.0,8394.0,1397221.0,17395.0,1
158,5,1,12,1,1,0,4,2,0,0,1,1,0,0,1,3,2,0,2,1,202336.0,10123.0,859039.0,12760.0,0
159,5,1,8,0,2,0,10,2,0,0,0,1,0,0,1,1,1,2,1,2,440879.0,7039.0,727197.0,10504.0,0
160,5,1,10,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,2,2,275895.0,9996.0,440704.0,19217.0,0
161,5,1,7,0,1,0,1,2,0,0,2,1,0,0,1,2,2,0,2,1,192042.0,11707.0,787581.0,13746.0,0
162,5,1,12,1,1,0,1,0,0,0,1,1,0,0,0,1,0,2,2,1,144562.0,8236.0,977323.0,16914.0,0
163,5,1,10,0,0,0,9,0,0,2,2,1,0,0,2,1,0,2,1,1,540001.0,8602.0,1113986.0,16584.0,0
164,5,1,10,1,0,0,1,0,0,0,1,1,2,0,2,3,0,2,2,1,254064.0,9043.0,787944.0,18526.0,0
165,5,1,11,0,0,0,1,0,0,1,1,1,0,0,0,3,2,0,2,1,191277.0,11987.0,742295.0,14476.0,0
166,5,1,8,1,1,0,1,0,0,0,1,1,0,0,2,3,2,0,2,0,165333.0,9950.0,1336811.0,13074.0,0
167,5,1,10,0,1,0,9,0,0,1,1,1,1,0,1,1,2,1,0,1,602067.0,5406.0,786869.0,14779.0,0
168,5,1,11,1,1,0,1,0,0,0,2,1,0,0,1,2,2,0,1,0,388865.0,10899.0,1388365.0,12316.0,0
169,5,1,12,0,1,0,1,0,0,0,1,1,0,0,1,3,0,0,1,2,556849.0,11899.0,420576.0,16052.0,0
170,5,1,10,1,1,0,1,0,0,1,1,1,0,0,0,3,0,1,0,0,708619.0,4658.0,1440306.0,17423.0,0
171,5,1,3,0,1,0,1,0,0,0,1,1,0,0,0,1,1,2,1,1,572639.0,6358.0,984358.0,8233.0,0
172,5,1,2,1,0,0,10,0,0,1,2,1,0,0,1,0,2,0,1,1,371469.0,9980.0,734075.0,14810.0,0
173,5,1,7,0,1,0,1,0,0,1,1,1,0,0,0,2,2,2,1,2,314438.0,7222.0,428416.0,12522.0,0
174,5,1,13,1,1,0,1,2,0,0,2,1,0,0,0,2,1,0,2,1,277066.0,10310.0,898568.0,8769.0,0
175,5,1,3,0,1,0,1,1,0,0,2,1,0,0,1,1,1,0,2,1,206912.0,12098.0,808583.0,8469.0,0
176,5,1,10,1,1,0,1,0,0,0,0,1,0,0,2,1,1,1,1,0,311541.0,4808.0,1341881.0,9013.0,0
177,5,1,0,0,1,0,10,2,0,0,2,1,0,0,0,2,2,2,1,0,584422.0,8399.0,1435095.0,15133.0,1
178,5,1,13,1,1,0,1,0,0,0,2,1,0,0,0,3,2,2,2,2,208272.0,9005.0,723345.0,13687.0,0
179,5,1,10,0,1,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,653510.0,11859.0,1446900.0,10811.0,0
180,5,1,10,1,2,0,1,0,0,0,1,1,1,0,0,0,2,0,2,0,180804.0,11098.0,1331507.0,14316.0,0
181,5,1,12,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,639935.0,11521.0,848025.0,8134.0,0
182,5,1,7,1,1,0,4,1,0,2,0,1,0,0,2,2,2,2,1,1,503115.0,7724.0,849337.0,14540.0,0
183,5,1,4,0,0,0,1,0,0,0,0,1,0,0,1,3,2,2,2,1,159785.0,7030.0,1140469.0,13341.0,0
184,5,1,13,1,0,0,1,0,0,0,1,1,0,0,1,3,2,2,1,1,502899.0,8004.0,767665.0,14802.0,0
185,5,1,7,0,2,0,1,0,0,1,0,1,0,0,0,3,2,1,0,2,738038.0,4446.0,476535.0,13806.0,1
186,5,1,10,1,1,0,1,0,0,1,0,1,0,0,0,2,0,0,1,1,318244.0,12337.0,1134223.0,19501.0,0
187,5,1,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,2,1,0,424268.0,8760.0,1406634.0,15761.0,0
188,5,1,10,1,1,0,3,0,0,0,1,1,0,0,1,0,1,0,0,2,687914.0,10153.0,534165.0,8941.0,0
189,5,1,5,0,1,0,1,2,0,0,1,1,0,0,1,2,1,2,2,2,304063.0,8975.0,420268.0,9518.0,1
190,5,1,14,1,1,0,8,2,0,1,2,1,2,0,0,0,0,0,1,1,324626.0,11727.0,1046915.0,15521.0,0
191,5,1,11,0,1,0,2,0,0,0,1,1,0,0,2,0,2,2,1,1,449140.0,9736.0,936632.0,15173.0,0
192,5,1,7,1,0,0,1,2,0,1,0,1,0,0,0,3,2,2,1,0,570416.0,6297.0,1338876.0,14094.0,0
193,5,1,1,0,1,0,1,0,0,0,2,1,0,0,1,3,1,0,1,0,429379.0,10646.0,1275482.0,10091.0,0
194,5,1,7,1,1,0,1,0,0,0,0,1,2,0,1,3,1,2,1,2,577157.0,8418.0,717042.0,10691.0,1
195,5,1,10,0,1,0,1,0,0,0,1,1,2,0,2,3,0,2,2,1,238022.0,7330.0,801624.0,19817.0,0
196,5,1,5,1,2,0,1,0,0,0,2,1,0,0,1,2,0,2,0,1,626834.0,6118.0,753478.0,17923.0,0
197,5,1,8,0,2,0,1,2,0,0,0,1,0,0,0,2,2,0,0,1,619477.0,11968.0,906233.0,13878.0,0
198,5,1,10,1,0,0,1,0,0,1,2,1,2,0,2,2,0,2,0,2,680649.0,6376.0,441212.0,18404.0,0
199,5,1,1,0,1,0,1,0,0,0,1,1,0,0,1,3,2,2,2,0,291391.0,6551.0,1423554.0,12284.0,0
200,1,4,1,1,1,0,10,4,0,1,1,1,1,0,1,1,2,0,1,0,456764.0,9999.0,1334324.0,12142.0,1
201,1,4,6,0,1,0,2,2,0,1,0,1,1,0,1,3,0,1,2,1,277808.0,5994.0,920143.0,15724.0,0
202,1,4,11,1,1,0,2,4,0,1,2,1,1,0,2,2,0,0,1,2,406549.0,10560.0,726880.0,18518.0,0
203,1,4,2,0,2,0,2,2,0,1,1,1,1,0,1,0,2,1,1,1,522160.0,4424.0,968181.0,12424.0,0
204,1,4,10,1,1,0,2,2,0,1,2,1,1,0,2,1,1,2,0,1,668840.0,9170.0,1099311.0,7775.0,0
205,1,4,6,0,0,0,8,1,0,2,0,1,1,0,1,2,2,0,1,2,404623.0,12195.0,675731.0,14534.0,0
206,1,4,8,1,0,0,10,4,0,1,1,1,1,0,1,0,2,1,1,0,410589.0,3954.0,1229131.0,12971.0,0
207,1,4,14,0,0,0,2,4,0,0,0,1,1,0,1,3,1,2,2,2,118209.0,9043.0,563060.0,11310.0,0
208,1,4,8,1,1,0,6,1,0,1,2,1,1,0,0,3,0,2,0,1,783134.0,8662.0,732306.0,18763.0,0
